127.0.0.1 - - [21/Nov/2016:15:52:45 -0300] "HEAD / HTTP/1.1" 200 283 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.90 Safari/537.36"
127.0.0.1 - - [21/Nov/2016:15:53:01 -0300] "GET / HTTP/1.1" 200 331 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:15:53:01 -0300] "GET /favicon.ico HTTP/1.1" 404 517 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:15:53:01 -0300] "GET /favicon.ico HTTP/1.1" 404 517 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:05:03 -0300] "GET / HTTP/1.1" 200 441 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:11:11 -0300] "GET / HTTP/1.1" 200 597 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET / HTTP/1.1" 200 7262 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 552 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/css/blocks.css HTTP/1.1" 404 528 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/animate.css HTTP/1.1" 404 533 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/line-icons/line-icons.css HTTP/1.1" 404 546 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 558 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/sky-forms-pro/skyforms/css/sky-forms.css HTTP/1.1" 404 561 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/owl-carousel2/assets/owl.carousel.css HTTP/1.1" 404 558 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/css/app.css HTTP/1.1" 404 524 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/cube-portfolio/cubeportfolio/css/cubeportfolio.min.css HTTP/1.1" 404 575 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/master-slider/masterslider/style/masterslider.css HTTP/1.1" 404 570 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/plugins/master-slider/u-styles/promo-1.css HTTP/1.1" 404 555 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
